Frame number,6894
First frame,1
Point frequency,200
Analog frequency,1000

Time,Force.Fx1,Force.Fy1,Force.Fz1,Force.Fx2,Force.Fy2,Force.Fz2,accel.x,accel.y,accel.z,accel.x,accel.y,accel.z
s,N,N,N,N,N,N,mm/s�,mm/s�,mm/s�,mm/s�,mm/s�,mm/s�
0.093,-2.37931e-06,-3.29553e-06,3.48042e-06,8.75625e-13,-1.21107e-12,6.23211e-12,-28.8134,22.0342,-28.0698,6.82503,26.0923,5.63596
0.094,-1.13072e-06,-6.23223e-06,5.41228e-06,1.02186e-12,-1.32923e-12,7.6272e-12,-28.9893,23.1947,-28.0268,4.76203,26.5292,6.20267
0.095,-2.75122e-07,-7.26838e-06,5.80212e-06,1.0643e-12,-1.25909e-12,8.47203e-12,-29.1716,24.4096,-27.9922,2.76323,26.9947,6.71658
0.096,2.59968e-07,-7.05956e-06,5.29539e-06,9.17413e-13,-8.76006e-13,8.18461e-12,-29.3759,25.6435,-27.9763,0.826076,27.4897,7.17516
0.097,5.5782e-07,-6.09705e-06,4.40519e-06,4.71702e-13,-2.80682e-14,5.98751e-12,-29.6196,26.8541,-27.9868,-1.05038,28.012,7.58155
0.098,6.98204e-07,-4.70692e-06,3.51843e-06,-4.01328e-13,1.45255e-12,9.24539e-13,-29.9211,27.9939,-28.0291,-2.86392,28.5574,7.94195
0.099,7.49045e-07,-3.06978e-06,2.91309e-06,-1.83655e-12,3.72655e-12,-8.07309e-12,-30.2985,29.0126,-28.1055,-4.60888,29.1204,8.26293
0.1,7.62116e-07,-1.25292e-06,2.77665e-06,-3.95196e-12,6.90891e-12,-2.20484e-11,-30.768,29.8599,-28.2165,-6.27673,29.6947,8.54965
0.101,7.71134e-07,7.5003e-07,3.21881e-06,-6.81174e-12,1.10112e-11,-4.17833e-11,-31.3431,30.489,-28.3623,-7.85732,30.2736,8.80536
0.102,7.91026e-07,2.97413e-06,4.27343e-06,-1.03732e-11,1.5863e-11,-6.74432e-11,-32.0327,30.8606,-28.5428,-9.34041,30.8518,9.03125
0.103,8.17521e-07,5.43316e-06,5.88726e-06,-1.44165e-11,2.10121e-11,-9.80877e-11,-32.8392,30.9463,-28.7558,-10.7173,31.4254,9.22622
0.104,8.26708e-07,8.06446e-06,7.89445e-06,-1.84594e-11,2.56106e-11,-1.31047e-10,-33.7573,30.7322,-28.9959,-11.9819,31.9918,9.38702
0.105,7.74679e-07,1.06689e-05,9.97877e-06,-2.16633e-11,2.8298e-11,-1.61197e-10,-34.7746,30.221,-29.2545,-13.1312,32.5495,9.50961
0.106,5.97842e-07,1.28484e-05,1.16278e-05,-2.27436e-11,2.7104e-11,-1.80211e-10,-35.8722,29.4321,-29.522,-14.1646,33.0967,9.59154
0.107,2.14999e-07,1.39462e-05,1.20879e-05,-1.99063e-11,1.9407e-11,-1.75911e-10,-37.0265,28.4014,-29.7897,-15.0833,33.631,9.63442
0.108,-4.67285e-07,1.30013e-05,1.03326e-05,-1.08436e-11,1.99528e-12,-1.31954e-10,-38.2117,27.1785,-30.0514,-15.8889,34.1501,9.64522
0.109,-1.54406e-06,8.73335e-06,5.0638e-06,7.16766e-12,-2.87022e-11,-2.81389e-11,-39.401,25.8235,-30.305,-16.5818,34.6524,9.63596
0.11,-3.09394e-06,-4.18611e-07,-5.22831e-06,3.70079e-11,-7.61418e-11,1.5826e-10,-40.569,24.4019,-30.5521,-17.1608,35.1375,9.62193
0.111,-5.15152e-06,-1.6171e-05,-2.21169e-05,8.12341e-11,-1.42863e-10,4.49642e-10,-41.6917,22.9801,-30.7976,-17.6226,35.6056,9.61933
0.112,-7.66864e-06,-4.01481e-05,-4.69641e-05,1.41311e-10,-2.29286e-10,8.63196e-10,-42.7464,21.6192,-31.0492,-17.963,36.0572,9.64313
0.113,-1.04641e-05,-7.34731e-05,-8.04872e-05,2.16498e-10,-3.32052e-10,1.40348e-09,-43.7108,20.3698,-31.3151,-18.1782,36.4931,9.7051
0.114,-1.31636e-05,-0.000116161,-0.000122135,3.02374e-10,-4.41935e-10,2.05216e-09,-44.5627,19.2674,-31.6026,-18.267,36.9142,9.8123
0.115,-1.51354e-05,-0.000166294,-0.000169265,3.89036e-10,-5.4141e-10,2.75484e-09,-45.2801,18.3298,-31.9145,-18.2317,37.3217,9.96635
0.116,-1.54313e-05,-0.000218991,-0.00021615,4.59092e-10,-6.02155e-10,3.40574e-09,-45.8422,17.5572,-32.2476,-18.0788,37.716,10.1635
0.117,-1.27496e-05,-0.000265227,-0.000252877,4.85738e-10,-5.82942e-10,3.8316e-09,-46.2313,16.9343,-32.5909,-17.8187,38.0958,10.3952
0.118,-5.44385e-06,-0.000290645,-0.00026432,4.31359e-10,-4.28642e-10,3.77775e-09,-46.4344,16.434,-32.9279,-17.4644,38.4564,10.6485
0.119,8.39033e-06,-0.000274586,-0.000229408,2.47329e-10,-7.13863e-11,2.90071e-09,-46.4445,16.0204,-33.2391,-17.0299,38.7899,10.9075
0.12,3.07113e-05,-0.000189717,-0.000121111,-1.24038e-10,5.64784e-10,7.7379e-10,-46.2618,15.6533,-33.5058,-16.5293,39.0867,11.1555
0.121,6.3165e-05,-2.77089e-06,9.23637e-05,-7.44226e-10,1.55414e-09,-3.08597e-09,-45.8936,15.2918,-33.7125,-15.9747,39.3374,11.3777
0.122,0.000106513,0.000322952,0.000444507,-1.66858e-09,2.95264e-09,-9.15925e-09,-45.3538,14.8979,-33.8484,-15.3763,39.5356,11.5639
0.123,0.00015982,0.000822502,0.000964808,-2.93028e-09,4.77274e-09,-1.78231e-08,-44.6622,14.4401,-33.9076,-14.7423,39.6791,11.7093
0.124,0.000219396,0.0015208,0.00166969,-4.51709e-09,6.94869e-09,-2.91959e-08,-43.8422,13.8962,-33.8892,-14.0813,39.7697,11.8146
0.125,0.000277519,0.00241996,0.00254945,-6.3403e-09,9.29236e-09,-4.29223e-08,-42.9194,13.2552,-33.7973,-13.4035,39.8124,11.884
